iter	RMSE
0	0.4014810896
1	0.39900933
2	0.3963359047
3	0.3937207035
4	0.3911441617
5	0.3887937169
6	0.3861757521
7	0.3839677079
88	0.37131485399	0.3775249415
110	0.366723269611	0.3729857001
12	0.370699654
13	0.3684037833
14	0.3662715258
15	0.364170749
16	0.3618953064
17	0.3596875189
18	0.3575329017
19	0.3553605203
20	0.3531424599
21	0.3511819716
22	0.3490704106
23	0.34709356
24	0.345032713
25	0.3429364759
26	0.3410151153
27	0.3391107028
28	0.337110787
29	0.3351203073
30	0.3334617593
31	0.3315914841
32	0.3295243717
33	0.3276820986
34	0.3259381309
35	0.3241786161
36	0.3224339775
37	0.320674136
38	0.3190548077
39	0.3171659253
40	0.3154504275
41	0.3136800612
42	0.3119196662
43	0.310157924
44	0.3084820705
45	0.3067729863
46	0.3050804168
47	0.3033115738
48	0.3017936171
49	0.3000671671
50	0.2986098716
51	0.2970749138
52	0.2955549509
53	0.293991473
54	0.2924614159
55	0.290982615
56	0.2894807001
57	0.2879770081
58	0.286535879
59	0.2852574628
60	0.2840065497
61	0.2826161993
62	0.2811515254
63	0.2797731893
64	0.278337512
65	0.276905918
66	0.2754682922
67	0.274177904
68	0.2728683946
69	0.2715916748
70	0.2703549325
71	0.2691906515
72	0.267833215
73	0.266485315
74	0.2652314262
75	0.2639766377
76	0.2628031726
77	0.261457569
78	0.260311792
79	0.2590923865
80	0.2578750511
81	0.2567350815
82	0.255498199
83	0.2543844583
84	0.253176555
85	0.2520487256
86	0.2510325091
87	0.2499800492
88	0.2488313847
89	0.2478038961
90	0.2466867629
91	0.245654974
92	0.244582957
93	0.2435127919
94	0.242443287
95	0.2413608511
96	0.2403749886
97	0.2393394236
98	0.2383133004
99	0.2372231542
100	0.2361810204
101	0.2352543983
102	0.2343043482
103	0.2333258134
104	0.2324399581
105	0.2314906286
106	0.230585461
107	0.2296862381
108	0.2287851667
109	0.2278822247
110	0.2269496118
111	0.2261761655
112	0.2253106607
113	0.2245396832
114	0.2236572808
115	0.222877438
116	0.2219717885
117	0.2211060946
118	0.220228785
119	0.2194352194
120	0.2186124305
121	0.2179101563
122	0.2170722429
123	0.216266097
124	0.2154674475
125	0.2146012156
126	0.2137711542
127	0.2129363284
128	0.2120654803
129	0.2112324875
130	0.2105160623
131	0.2098448458
132	0.2090948808
133	0.2084491182
134	0.207703887
135	0.2069745952
136	0.2062891065
137	0.2056314521
138	0.2049690961
139	0.2043050364
140	0.2035481864
141	0.2028338088
142	0.2022426095
143	0.2016571869
144	0.2009368559
145	0.2002619721
146	0.1996809668
147	0.1990481827
148	0.1983785487
149	0.1977999183
150	0.1971725333
151	0.1965335057
152	0.1959130507
153	0.1953827265
154	0.1947806082
155	0.1941351481
156	0.1936154245
157	0.1930003557
158	0.1924313385
159	0.1918665941
160	0.1913885722
161	0.1907782636
162	0.1901526324
163	0.1895975085
164	0.1890696057
165	0.1884972937
166	0.1879473647
167	0.1873880985
168	0.1868442727
169	0.1863540625
170	0.1858106556
171	0.1852946449
172	0.1848121019
173	0.1842889976
174	0.183768587
175	0.1833199297
176	0.1828591702
177	0.1823907305
178	0.1818637727
179	0.1813523254
180	0.1809789988
181	0.1804407105
182	0.1800160521
183	0.1794573463
184	0.179016255
185	0.1785891152
186	0.1781278677
187	0.1776394962
188	0.1772101553
189	0.1767087998
190	0.1762763931
191	0.1758258867
192	0.1754015817
193	0.1749741747
194	0.1745638513
195	0.1741254479
196	0.1736631304
197	0.1732024916
198	0.1727471783
199	0.172318309
200	0.1719443055
201	0.1715308251
202	0.1711435557
203	0.1707096375
204	0.1702763678
205	0.1698331367
206	0.1694437489
207	0.169041534
208	0.1686598043
209	0.1683023653
210	0.1679655339
211	0.167564367
212	0.1671814834
213	0.16674916
214	0.166430037
215	0.1661021472
216	0.1657909774
217	0.1654057392
218	0.1650489978
219	0.1646641279
220	0.1642983847
221	0.1639302418
222	0.1635365345
223	0.1632540944
224	0.1629649631
225	0.1626235497
226	0.162246768
227	0.1618897773
228	0.161534093
229	0.1612059635
230	0.1609109412
231	0.1606052453
232	0.1602545251
233	0.1599492262
234	0.1596061598
235	0.1593282016
236	0.1589928583
237	0.1587083752
238	0.1584581421
239	0.158164956
240	0.1579280346
241	0.1575989042
242	0.1572543803
243	0.1569651808
244	0.1567044369
245	0.1564106773
246	0.1561488086
247	0.1558617825
248	0.1555816851
249	0.1553117518
250	0.1550537339
251	0.1548059223
252	0.1545065272
253	0253	0.151574254	0254	0.151259255	0255	0.150984256	0256	0.150744257	0257	0.150509258	258	0.1502229259	259	0.1499761260	260	0.1496729261	261	0.1494343262	262	0.1491652263	263	0.148937263	0.1464042475
264	0.1461655932
265	0.145899618
266	0.1456392032
267	0.1453616532
268	0.1451411506
269	0.1448704899
270	0.144656837
271	0.1443962948
272	0.1441456496
273	0.1438413579
274	0.1435848246
275	0.1433876067
276	0.143160616
277	0.1429817203
278	0.1427474567
279	0.1424908543
280	0.1422683617
281	0.1420382244
282	0.141801274
283	0.1415641047
284	0.1413283401
285	0.1411047904
286	0.1409130157
287	0.1406821602
288	0.1404402913
289	0.1402601089
290	0.1400123033
291	0.1397963916
292	0.1395931227
293	0.1394113114
294	0.1391953835
295	0.1389987862
296	0.1387884103
297	0.1385650987
298	0.1383860452
299	0.1381621271
300	0.13797447
301	0.1377769838
302	0.137538633
303	0.1373037619
304	0.1370922131
305	0.136884093
306	0.1366766561
307	0.1364728367
308	0.1362876241
309	0.1360844075
310	0.1359287084
311	0.1357178026
312	0.1355155056
313	0.1353198833
314	0.1351512875
315	0.1349828695
316	0.1347950126
317	0.1346275574
318	0.1344485562
319	0.1342683012
320	0.1341254359
321	0.1339453289
322	0.1337851585
323	0.13359114
324	0.13343303
325	0.1332451793
326	0.1330688643
327	0.1329366353
328	0.132766616
329	0.1326114591
330	0.1324133786
331	0.1322182437
332	0.1320400038
333	0.1318334	0.1334	0.1317335	0.1343379315
336	0.1341980618
337	0.1340444249
338	0.1339135046
339	0.1337595352
340	0.1336017354
341	0.1334282519
342	0.1332600061
