iter	Passed	Remaining
0	7	23889
1	11	16897
2	15	1535033	21	15769
4	24	14716
5	27	1388266	30	1310677	32	123248	39	12966
9	43	13034
10	50	13624
11	54	13459
12	5711	200	13	61	12	20514	65	113	214	45688
14	220	43857
15	226	42317
16	234	41130
17	238	39479
18	243	38218
19	247	36831
20	250	35599
21	254	34435
22	258	33435
23	263	32637
24	268	31893
25	274	31382
26	277	30511
27	280	29756
28	283	29063129	286	28353230	293	28147
31	296	27543432	300	27051
33	303	26483634	346	29380
35	353	29081
36	360	28862
37	365	28479
38	373	28342
39	376	27852
40	380	27488
41	384	27086
42	389	26818
43	394	26532
44	399	26250
45	403	25906
46	409	25738
47	414	25467
48	417	25160
49	423	24958
50	428	24751
51	434	24621
52	439	24435
53	442	24167
54	446	23906
55	450	23672
56	454	23451
57	457	23227
58	461	23015
59	465	22798
60	469	22615
61	473	22456
62	478	22301
63	482	22141
64	485	21929
65	490	21822
66	495	21703
67	499	21551
68	504	21431
69	509	21334
70	514	21210
71	518	21084
72	523	20978
73	526	20828
74	530	20697
75	534	20573
76	539	20468
77	546	20482
78	551	20382
79	555	20266
80	558	20122
81	560	19962
82	568	19962
83	572	19864
84	582	19972
85	588	19928
86	591	19817
87	595	19709
88	599	19604
89	604	19530
90	608	19438
91	613	19379
92	616	19282
93	620	19176
94	623	19059
95	626	18958
96	630	18862
97	635	18818
98	639	18728
99	643	18671
100	648	18623
101	655	18625
102	661	18594
103	666	18557
104	669	18469
105	673	18374
106	676	18290
107	679	18203
108	683	18128
109	687	18059
110	691	17997
111	696	17955
112	700	17891
113	705	17860
114	709	17798
115	712	17714
116	715	17625
117	718	17559
118	721	17466
119	724	17384
120	728	17339
121	732	17290
122	736	17225
123	739	17162
124	744	17118
125	747	17048
126	751	16989
127	753	16915
128	757	16851
129	760	16786
130	763	16727
131	767	16672
132	771	16635
133	774	16558
134	782	16602
135	785	16550
136	790	16515
137	794	16480
138	798	16440
139	803	16413
140	808	16393
141	812	16349
142	816	16321
143	821	16285
144	824	16234
145	827	16174
146	830	16124
147	835	16094
148	839	16072
149	844	16051
150	849	16037
151	853	15996
152	857	15958
153	861	15912
154	864	15873
155	868	15835
156	873	15817
157	877	15784
158	882	15761
159	885	15720
160	889	15690
161	895	15688
162	898	15638
163	901	15581
164	903	15527
165	906	15479
166	909	15431
167	913	15392
168	916	15356
169	920	15327
170	923	15283
171	926	15236
172	931	15214
173	935	15196
174	940	15188
175	944	15158
176	969	15463
177	973	15426
178	980	15445
179	986	15453
180	991	15436
181	994	15405
182	999	15384
183	1002	15337
184	1004	15288
185	1008	15253
186	1012	15233
187	1016	15201
188	1020	15183
189	1025	15164
190	1028	15123
191	1035	15149
192	1041	15142
193	1044	15102
194	1047	15069
195	1050	15024
196	1052	14976
197	1056	14950
198	1061	14941
199	1065	14922
200	1068	14877
201	1071	14838
202	1074	14799
203	1079	14801
204	1085	14796
205	1087	14755
206	1091	14733
207	1098	14748
208	1101	14706
209	1104	14672
210	1106	14626
211	1110	14605
212	1113	14572
213	1117	14547
214	1119	14505
